"service_date","day_type","bus","rail_boardings","total_rides"
"10/01/2025","W","673,048","503,729","1,176,777"
"10/02/2025","W","647,059","493,521","1,140,580"
"10/03/2025","W","628,219","428,582","1,056,801"
"10/04/2025","A","426,695","330,780","757,475"
"10/05/2025","U","330,030","256,462","586,492"
"10/06/2025","W","599,924","413,206","1,013,130"
"10/07/2025","W","620,211","459,544","1,079,755"
"10/08/2025","W","659,843","508,974","1,168,817"
"10/09/2025","W","656,173","529,239","1,185,412"
"10/10/2025","W","619,786","477,092","1,096,878"
"10/11/2025","A","422,782","403,058","825,840"
"10/12/2025","U","283,480","542,446","825,926"
"10/13/2025","W","487,268","405,396","892,664"
"10/14/2025","W","650,249","487,076","1,137,325"
"10/15/2025","W","628,961","476,877","1,105,838"
"10/16/2025","W","649,973","492,753","1,142,726"
"10/17/2025","W","604,836","439,123","1,043,959"
"10/18/2025","A","381,265","446,627","827,892"
"10/19/2025","U","307,844","247,440","555,284"
"10/20/2025","W","601,831","422,565","1,024,396"
"10/21/2025","W","615,975","466,037","1,082,012"
"10/22/2025","W","618,604","463,852","1,082,456"
"10/23/2025","W","623,695","474,742","1,098,437"
"10/24/2025","W","586,550","415,854","1,002,404"
"10/25/2025","A","399,015","284,862","683,877"
"10/26/2025","U","322,688","217,607","540,295"
"10/27/2025","W","550,654","396,777","947,431"
"10/28/2025","W","638,531","464,085","1,102,616"
"10/29/2025","W","645,197","467,094","1,112,291"
"10/30/2025","W","645,207","476,146","1,121,353"
"10/31/2025","W","601,396","432,500","1,033,896"
"11/01/2025","A","390,311","320,419","710,730"
"11/02/2025","U","307,391","255,086","562,477"
"11/03/2025","W","611,374","409,741","1,021,115"
"11/04/2025","W","633,899","454,710","1,088,609"
"11/05/2025","W","634,148","456,081","1,090,229"
"11/06/2025","W","625,599","460,723","1,086,322"
"11/07/2025","W","600,327","420,110","1,020,437"
"11/08/2025","A","377,571","298,153","675,724"
"11/09/2025","U","275,389","215,220","490,609"
"11/10/2025","W","504,454","368,436","872,890"
"11/11/2025","W","490,521","387,713","878,234"
"11/12/2025","W","627,176","463,700","1,090,876"
"11/13/2025","W","627,045","466,346","1,093,391"
"11/14/2025","W","593,553","416,539","1,010,092"
"11/15/2025","A","410,263","347,052","757,315"
"11/16/2025","U","305,961","228,440","534,401"
"11/17/2025","W","585,326","406,383","991,709"
"11/18/2025","W","602,876","454,166","1,057,042"
"11/19/2025","W","634,281","458,463","1,092,744"
"11/20/2025","W","628,172","457,368","1,085,540"
"11/21/2025","W","592,327","457,006","1,049,333"
"11/22/2025","A","380,023","356,463","736,486"
"11/23/2025","U","311,954","241,793","553,747"
"11/24/2025","W","522,561","373,147","895,708"
"11/25/2025","W","527,126","378,692","905,818"
"11/26/2025","W","438,551","301,379","739,930"
"11/27/2025","U","181,164","128,476","309,640"
"11/28/2025","W","347,522","242,928","590,450"
"11/29/2025","A","249,450","206,685","456,135"
"11/30/2025","U","247,697","185,249","432,946"
